name,age,street,city,state,zip,lng,lat
Charles Mclean,49,6334 Kayla Junction Apt. 500,West Samanthafort,Arizona,84122,-42.408376,-73.144592
Cody Page,36,23590 Maria Isle Suite 771,New Taraville,Minnesota,55678,-42.024948,-82.8364675
Aaron Ellis,47,2651 Jackson Fork Suite 932,Escobartown,Virginia,99181,-135.216808,-1.092325
Anthony Evans,25,24586 Holloway Garden Suite 684,Baldwinbury,Michigan,29014,-158.678811,15.7263405
Aaron Grant,23,2875 Armstrong Rapid Suite 186,East Keithland,Rhode Island,66491,103.084531,24.208232
Elizabeth Roberts,37,47286 Norton Burg Suite 180,West Kyle,Wisconsin,88953,24.291770,9.2221255
Nicole Hall,20,17006 Nguyen Lodge,South Brandon,Kansas,51309,-99.382740,-16.759038
Billy Simpson,48,3078 Novak Run,Delgadobury,Washington,23463,-164.162831,-7.5608795
Zachary Lane,76,5455 Terry Drives,Millerbury,New Jersey,60027,37.284119,-38.5482485
Andrew Harrington,28,0147 Ashley Station,New Matthew,New Mexico,20629,-25.106134,-75.951648
Wayne Newman,57,0050 Laura Springs Suite 525,Davenportberg,Virginia,07678,147.070606,-64.9694635
Sydney Stewart,55,78591 William Road Apt. 683,Lake Danielleton,Nevada,10189,-123.312393,80.836295
Christopher Chen,30,3797 Case Heights,Lake John,South Dakota,43355,-110.604015,-78.538330
Anthony Webb,34,6932 Eric Rapids Suite 957,Adrienneborough,California,26228,40.442234,-39.210317
Stacy Hernandez,72,3479 Sarah Underpass Suite 806,Maldonadohaven,Washington,87866,-72.217937,-58.493957
Suzanne Reese,26,864 Danielle Spurs Suite 464,West Sarah,Arkansas,78967,20.970044,41.8739905
Shawn Cannon,32,067 Shelia Forges,Rachelborough,North Dakota,22561,148.544604,35.9710375
Michael Joyce,18,53803 Lang Court,Joycemouth,Maryland,08997,-133.352098,-82.4449235
Jeffrey Lee,47,1614 Barbara Place Suite 207,New Christina,New Jersey,05053,93.421005,8.308741
Priscilla Greer,20,44195 Webb Club Suite 848,Horneview,Ohio,08363,-81.162031,-75.7056155
Dawn Ramsey,64,361 Brennan Isle,Teresaburgh,Connecticut,13664,-63.248384,12.384550
Michael Lopez Jr.,58,159 Thompson Shores,Lake Michael,Virginia,00996,27.665773,36.6865465
Michael Rodriguez,51,058 Sarah Inlet Suite 422,Savannahshire,Florida,11268,-19.396927,30.4076785
George Kent,42,90242 Hall Drives,New Robert,North Dakota,82143,161.458037,-19.1219785
Jeremy Lang,28,02135 Gary Brooks,Chungmouth,North Dakota,11863,-161.821809,75.928754
Scott Jackson,26,5825 Burton Crossing,Johnport,Virginia,34547,76.917850,-88.4023875
Emily Edwards,62,7939 Daniel Way,North Debbie,Hawaii,99673,-136.270914,18.6234175
Julie Gray,62,9777 Nancy Court,Hoffmanshire,Colorado,55802,-74.508575,67.8664525
Sherry Hayden,48,4072 Benjamin Ferry Apt. 955,Lake Matthew,Rhode Island,87711,-139.382513,-82.4130195
Diana Morales,49,810 Jones Ways Suite 810,Josephfurt,Oklahoma,18774,-107.770192,25.2813925
William Powell,22,280 Kenneth Mount,Meganchester,Oklahoma,05363,12.645508,58.054193
Robert Gilbert,66,75595 Steven Harbor Apt. 783,New Christineland,Iowa,61782,-108.259840,-55.7444715
Michael Evans,68,02635 Mary Island,Port Derek,Illinois,44476,-23.498406,-22.927058
Rebecca Stewart,53,432 Marks Light,Port Erik,Indiana,70089,-108.248777,-18.367302
John Wilson,45,5932 Alvarado Unions Apt. 679,Hunterchester,Oklahoma,45473,57.212136,-40.104038
Tanya Cohen,48,5110 Butler Cliffs Suite 206,Anthonyton,California,13653,-40.591455,-1.0430245
Daniel Drake,36,385 Michael Corners,West Josephside,Vermont,79786,-74.416409,76.1743185
Christina Evans,29,98099 Smith Crossroad,New Natalie,Alaska,60376,-61.075432,-26.893107
Holly Pearson,72,81663 James Squares,New Donaldmouth,Missouri,29439,-96.685885,48.161336
Carrie Newman,59,8154 Rodriguez Shoal Apt. 802,East Jimmy,Iowa,81773,83.330338,36.608087
Crystal Garrett,23,0347 Christopher Path,Dustinbury,North Dakota,68551,99.610046,86.134985
Joyce Blake,38,9271 Steven Spring Apt. 783,Joshuamouth,Indiana,59148,91.224097,29.6915155
Suzanne Barber,69,2283 Jack Street Apt. 666,Harrismouth,Vermont,40268,67.150976,43.4808385
Christy Gardner,51,24650 Gibbs Lakes Suite 990,Lake Lauraberg,Idaho,82932,-26.752320,58.3069885
Ian Anderson,54,93253 Weber Lights,Matthewshire,South Carolina,59377,-123.278016,48.7628945
Linda Parker,32,608 Michelle Trail,Jennifermouth,New Hampshire,84749,124.535951,36.527038
Thomas Juarez,48,61325 Mercado Mall Apt. 151,East Mark,South Carolina,20599,-143.874540,57.114268
Brian Stephens,41,999 Johnson Avenue,Port Tyler,Maine,44545,57.968022,84.818881
Barry Payne,71,2071 Garcia Islands,East Carolport,Wisconsin,61449,8.634716,-73.381398
Shawn Warren,24,3397 Barry Walk Suite 725,West Andrew,Minnesota,44315,88.538969,-38.0611635
Mario Rogers,49,670 Wallace Inlet,Jenniferbury,Arkansas,03971,7.609714,-37.2409095
Aaron Schaefer,66,42268 Gibson Village Apt. 795,Erictown,Connecticut,71038,131.616916,0.7350925
Mr. Steven Brown,78,89470 Gabriela Plains,Davischester,West Virginia,87549,88.661337,73.789537
Gregory Smith,76,293 Ortiz Circles,West Williamberg,Arkansas,06157,-155.628587,-67.464622
Steven Gibson,59,86442 Hernandez Stravenue,Coletown,Kentucky,09276,-114.351564,-60.495279
Lauren Alexander,62,686 Hamilton Isle,Juanfurt,Maine,50802,169.888913,-50.4305165
Mason Young,69,15139 Hernandez Neck Suite 921,Johnview,New Hampshire,52016,135.960569,-3.728853
Robert Saunders,74,1894 Amy Camp,Butlerberg,Florida,16939,-14.971367,15.7482195
Bruce Marshall,33,014 Jennifer Lake Suite 920,Michelleburgh,Minnesota,21228,61.478014,-67.1795505
Sarah Vargas,21,0991 Jason Mission,Port Markside,Montana,52385,141.746432,67.066528
James Mccoy MD,52,735 Miller Underpass,Bellport,Missouri,21816,-6.872704,-16.046388
Amanda Sanders,64,4953 Stout Point,Port Benjaminfurt,Massachusetts,06702,84.615718,23.816937
Jason Watts,46,5151 Marshall Villages,Smithfurt,Minnesota,80562,-124.113851,-72.235117
Harold Davis MD,22,12146 Hampton Harbors,Andrewview,Oregon,33428,-22.263322,76.4050055
Wayne Goodwin,51,63955 Amy Summit Suite 304,Justinton,Nebraska,85953,-108.943565,35.784217
Paul Taylor,32,938 Martha Creek Apt. 390,West Kenneth,Arizona,25575,-63.492676,76.7586915
Mark Lopez,26,262 Ralph Ridges,Pollardberg,Kansas,18185,48.380231,-57.0263375
Cole Meza,26,6994 Patton Shoals,North Christopherhaven,Kansas,54370,-61.059495,61.8961535
Kevin Johnson,26,3098 Andrew Camp,West Stephenmouth,Iowa,39461,-42.005213,-74.481348
Angel Drake,25,241 Gary Islands Suite 039,East Derek,Colorado,42916,-165.755540,65.5934405
Victoria Anderson,68,6479 Dixon Flat Apt. 641,Smithstad,Montana,40025,-73.898558,-59.6871325
Diana Thomas,78,4844 Daniel Fields Apt. 594,East Melissaburgh,Ohio,24517,-50.478183,82.391750
Jo Hurst,52,34503 Kristina Camp Suite 964,Lake Karenfort,Pennsylvania,91517,-69.474531,50.699558
Bradley Moore,73,9843 Julie Fields Suite 116,South Michael,Nevada,62752,-120.685416,78.653172
Amy Hill,65,4406 Robert Rue Suite 853,South David,Rhode Island,91263,-147.845562,-37.405847
Allison Harding,35,52884 Christian Well Suite 717,East Debra,Massachusetts,55597,-10.893474,-1.684528
Shane Tran,42,80975 Nicholas Harbor,Valdezchester,Arkansas,59917,143.249398,-86.0067395
Heather Smith,79,004 Williams Loop Apt. 562,Erikland,Washington,28323,-35.435132,12.439558
Jeffrey Kelley,22,0211 Joseph Heights,North Karen,Maryland,68141,-48.063097,-21.4200315
Brian Parker,23,2171 Christopher Drive,Cynthiatown,Kentucky,91892,-67.979462,-2.4273955
Jeffrey Scott DVM,29,24402 Jennifer Loop Apt. 020,Toddburgh,Arizona,05042,-140.527488,-9.494032
Trevor Irwin,19,14885 Michael Lights Suite 764,Port Jeremystad,Missouri,72366,-21.561054,32.6273955
Adam Parker,58,91566 Christine Park Apt. 287,Port Beckyshire,Idaho,78639,-124.906497,-52.156459
Christina Kaufman,41,582 Tanya Plains Apt. 640,Port Mikaylaside,Arkansas,55854,31.974888,70.354346
Christine Gonzalez,27,14621 Brian Harbors Suite 480,Port Shelleychester,Missouri,91198,98.304420,-13.282206
Tracy Richards,63,3249 Moran Rue Suite 625,North Rebecca,Montana,40410,154.839026,62.1302795
Eric Bernard,49,51110 Kristen Forges Suite 661,Deborahshire,Massachusetts,84791,-157.318470,-48.9808005
Patrick Donaldson,37,29068 Wright Mount,Andersonborough,Wyoming,88168,149.164912,-82.720151
Justin Perez,68,1762 Hall Extensions Suite 825,North Eileenfort,Alabama,47000,-95.118016,-81.2088175
Anthony Kelly,29,809 Perry Rapids Apt. 420,North Crystalmouth,Montana,90314,-155.274959,-41.8231395
Mary Smith,37,071 Tate Walks,Lake Laura,Oklahoma,48139,-72.159433,-18.210054
Angel Forbes,59,3276 Berry Station,Lake Michael,Montana,71264,174.421440,14.4878515
Sharon Jennings,68,5247 Jackson Loaf Apt. 287,Youngburgh,Oklahoma,78825,45.416561,12.338177
John Schmidt,31,713 Griffith Prairie,South Sarahton,Texas,73153,4.681530,-24.7630695
Brian Huffman,19,0877 Thomas Tunnel Apt. 870,North Gregoryside,Utah,69124,43.474471,-42.847530
Stephanie Ford,51,768 Moran Passage,Watkinsfurt,Mississippi,31613,-111.514627,-75.4213235
Michael Knox,67,75038 Boyd Points,North Carlyburgh,West Virginia,62432,-50.306558,71.9320235
Sean Smith,79,182 Horne Village Apt. 016,Willieview,West Virginia,39513,158.742225,70.2206175
Gary Clark,66,716 David Inlet,Port Kennethhaven,Kentucky,47703,35.285401,-5.9524775
Randy Lindsey,48,981 Mindy Tunnel,Port Stacey,Minnesota,87523,-17.183477,44.3266755
Bruce Robles,55,288 Betty Crossing,New Justinmouth,Virginia,40427,22.532459,-61.993836
Sean Kim,57,05445 Harris Station,New Gregory,Kansas,82982,-20.496731,53.081937
Yolanda Pitts,56,9070 Pierce Fords,Juanberg,North Carolina,99401,152.998466,-21.373161
Christian Martinez,67,31188 Charles Bypass Suite 319,Longberg,Arkansas,76177,-23.724108,-42.239548
Alan Gutierrez,62,9441 Chandler Spur,Port Drewburgh,Oregon,32471,-156.306802,81.471845
Timothy Kennedy DDS,22,74281 Kathryn Passage,Port Matthewland,Alabama,23565,-140.370467,-85.756279
Jesse Sampson,50,998 Blackwell Isle,Port Sean,South Dakota,45249,78.616332,-47.2259025
Jim Norris,32,082 Mark Ridges Suite 213,North Arielmouth,Wisconsin,07989,-3.228551,22.8777365
Derek Garcia,79,402 Brown Spring Apt. 609,Wanghaven,Iowa,29003,-112.536854,18.840460
Melissa Dickerson,73,9209 William Station Suite 330,South Henryton,North Carolina,52397,-119.785118,-7.163710
April Herrera,59,8477 Marcus Corners,Marymouth,Alaska,89801,96.848134,-17.298423
Alex Frank,71,30323 Jessica Mountain Apt. 077,North Jamesshire,Wyoming,92543,-178.261171,14.3278245
Alexander Costa,67,597 Morris Pines,Lake Marcus,Arkansas,23540,160.152477,-65.425755
John Bradley,44,1375 Swanson Ramp,Gamblemouth,California,35779,56.374437,15.6822735
Christian Pineda,39,14050 Hill Cape Apt. 305,Lake Mirandatown,Connecticut,12136,45.019281,49.725839
Kyle Orozco,59,3837 Lee Villages Apt. 375,Lake Josephview,Pennsylvania,32392,86.934203,22.9962845
Donald Jones,28,41930 Jonathan Lake,Samanthatown,Hawaii,40414,-36.892861,21.5499365
Keith Flynn,28,225 Daniels Estates Suite 611,West Biancaberg,Delaware,13095,-47.004967,73.605174
Mason Richardson,35,128 Bowman Grove,Andersonton,Mississippi,26411,130.792225,51.478082
Jeffrey Elliott,29,026 Jennifer Spring Suite 325,West Sheila,Massachusetts,58338,70.171231,82.8939095
Jerry Cohen,79,08044 Michelle Shore,Shepardmouth,New York,46355,-37.780702,-86.543428
Jason Herrera,36,1542 White Extension Suite 145,New Wanda,Utah,78749,43.277691,50.7839725
Sheila Wright,32,47296 Roberts Well Suite 557,Burkeberg,Oklahoma,79670,129.779698,-74.440390
Patrick Mccarty,52,5885 Luke Crescent,Paynehaven,New Jersey,74213,-133.309227,14.071835
Heather Moore,57,7989 Alan Port Suite 948,Mooremouth,California,41471,137.280901,41.880513
Elizabeth Carr,63,71831 Harvey Cliff,North Melinda,New York,18641,109.639842,-4.375911
Phillip Floyd,37,996 Bennett Circle Suite 096,Lake Meganshire,Rhode Island,95993,69.222108,57.864766
Paul Mcintosh,62,2266 Steven Mountains,West Brittney,Louisiana,25913,21.354636,83.4663945
Allison Levine,79,73054 Debbie Turnpike Apt. 779,East Crystal,Oregon,24186,-88.640048,61.0134955
Mary Jones,72,2585 Little Islands,Blackwellhaven,Idaho,66017,-161.513825,-31.421773
Vernon Brown,58,6033 Ryan Manor Suite 140,Matthewhaven,New Hampshire,33279,137.986185,-42.1920345
Ronnie Patterson,42,736 Nathaniel Walks,West Mitchell,Florida,54781,140.438786,-19.1135105
Jacqueline Figueroa,59,181 Knight Gateway,West Sean,Illinois,74450,27.223662,-40.839494
Christine Shelton,51,609 Warren Mission,Sherrichester,New Hampshire,14405,81.113984,71.7426705
Miguel Lewis,74,38218 Foster Circle Apt. 352,Lake Carmenburgh,Rhode Island,64274,-72.332132,-64.8120915
Melissa Barton,63,594 Williams Curve,North Henryshire,North Carolina,44660,144.505835,73.9592285
James Campbell,20,3763 Thompson Mill,Shellyton,Texas,60842,-23.802479,53.4053195
Samuel Mclaughlin,30,9389 Kaylee Pass,Rodriguezview,New Jersey,81708,137.903453,-51.2052185
Lisa Roberts,35,84707 Gonzales Mountain,Port Sherri,Wisconsin,22889,93.329236,39.557881
Calvin Hamilton,24,52594 Duke Route Suite 534,New Jeffrey,Mississippi,41560,-54.159235,-30.423445
Mark Tate,53,3953 Pratt Plaza,Port Jenny,Kentucky,48663,-63.007168,-68.6102025
Michael Ochoa,48,2495 Rodriguez Greens Apt. 121,New Ashleyside,Alaska,36796,-49.548195,28.1554275
Brian Howell,60,91704 Hannah Groves Apt. 050,Diazhaven,West Virginia,80270,95.775450,-75.9645325
Angel Johnson,40,0181 Cindy Burg,North Carl,Montana,24158,-148.908289,9.0574795
Oscar Thompson,36,76901 Robert Branch,Steeleside,Idaho,83806,-61.249664,-40.747421
Joseph Moran,73,688 Traci Lodge Apt. 319,Kellerburgh,Montana,57817,-163.681398,73.738735
Nina Hunt,48,16628 Herman Stravenue Apt. 228,Natashaland,Delaware,66018,157.770958,16.464328
Allison Mora,34,48618 Laura Crossroad,South Peter,Florida,51570,-137.923634,12.0582385
Robert Jenkins,63,34927 Roger Canyon Suite 739,South Lauraview,Alaska,57146,-61.707789,-34.815690
Raymond Porter,29,62763 Johnson Branch,North John,South Dakota,83832,121.014421,-53.1205655
Kenneth Burnett,19,8359 Howard Corner,Wardhaven,Virginia,43737,-19.584530,72.181520
Jose Mills,34,7441 Thomas Canyon,New Raymondhaven,West Virginia,13446,-52.375617,-26.592820
Matthew Campbell,78,32065 Nicole Branch Apt. 676,Smithville,New Mexico,20271,-18.919898,-67.926005
Donna Brooks,61,4530 Hicks Junction,New Ricky,Maryland,95770,94.899333,44.131633
Jacqueline Peters,18,2966 Sherri Glen Suite 099,Port Kimberly,Iowa,53116,-104.152664,89.561225
Nancy Rodgers,41,691 Amanda Inlet,West Lisachester,New Hampshire,34174,15.893594,12.310877
Bryan Davidson,27,082 Denise Vista,Marymouth,New Mexico,58726,69.072458,-22.5897655
Timothy Saunders,44,08767 Kelly Prairie,South Lukefurt,Virginia,02126,56.250328,-60.823553
Donald Martinez,26,5238 James Port,New David,Alabama,35844,59.317143,71.638733
Luke Howard,64,5269 Alexa Meadows Apt. 985,East Bobfort,Missouri,02761,28.637907,56.130418
Dave Jones,44,88594 Emily Cliffs Apt. 405,North Erikview,Wisconsin,28100,-101.637311,-74.466418
Christopher Atkinson,66,1637 Watkins Points,South Theresa,Ohio,18408,-55.446914,72.275933
Brian Morrow,51,5913 Carla Streets Apt. 164,Martinshire,Alabama,84885,-123.183527,-39.972031
Erik Hill,72,18247 Shaw Way Suite 860,Sanderstown,North Dakota,53296,61.091168,-67.768921
Rickey Diaz,52,0494 Leah Roads Suite 782,South Laura,Idaho,33787,-152.662201,-6.7019315
Dawn Hernandez,76,0106 Key Grove Suite 665,New Tylerview,Wyoming,11385,0.671667,-45.002545
Jessica Cook,28,809 Hoover Common Suite 662,West Jason,Maine,99786,147.302346,16.461959
Jackie Hudson,69,510 Samantha Crossroad Apt. 206,South Amanda,Wisconsin,56412,-168.401659,70.612118
Jeffrey Hodges,55,44280 Kelly Fords,Lake Laura,Michigan,40909,-21.235616,88.5613785
Roger Holland,46,3354 Jennifer Oval,Lake Amy,Arkansas,74849,-119.236261,20.1368445
David Perry,22,12223 Lee Meadows,East Vanessa,North Dakota,08100,55.532208,79.163792
Jeremy Ingram,71,353 Ruiz Plain Apt. 141,South Hannahburgh,Texas,95159,128.632594,-74.844074
Lucas Chavez,62,21531 Angela Orchard,Laurenside,Ohio,62173,-158.483177,52.215397
Benjamin Gonzalez,53,162 Turner Valley,Longshire,North Dakota,22699,24.655155,32.186996
James Johnson,46,7878 Tran Rapids,South Kaitlyn,Arizona,88907,-33.209560,43.4223135
April Duncan,42,2300 King Causeway Suite 677,Frazierport,Colorado,16121,-161.491152,29.3014745
Anna Clarke,63,585 George Parkway,West Maria,Colorado,74756,143.755880,73.652394
Crystal Rice,53,028 Brittany Mission Suite 985,New Monica,Massachusetts,32454,55.833175,-66.0176935
Jerry Johnson,30,994 John Extension,Susanburgh,Texas,01347,92.042859,-49.8104835
Melissa Torres,65,2059 Ingram Shoals Apt. 567,Jordanfort,Ohio,44683,-133.925486,56.0351565
Michelle Dominguez,46,8093 Ward Forks Suite 549,North Christineburgh,Oregon,41430,-178.649273,-78.4823295
Mrs. Jennifer Townsend MD,62,981 Amanda Ridge Apt. 199,Pettyburgh,New Jersey,44561,151.392694,81.453674
Anthony Thompson,26,00722 Carroll Mews Suite 770,Chandlerville,Pennsylvania,35165,103.824903,-72.0680405
Jordan Miller,36,3671 Cheryl Islands,South Travis,Washington,27056,137.003701,0.6560605
Kelly Lane,35,176 Spence Wall,Reedside,Rhode Island,85764,-133.506862,85.365270
Stephen Bass,68,0931 Yang Flats Apt. 296,New Wendymouth,California,96729,175.172608,-47.694016
Ashley Dixon,46,873 Cardenas Port,Port Christopher,Massachusetts,16782,112.863507,-1.6194305
Shannon Delgado,37,6492 Carter Lakes,Staceyville,Pennsylvania,98558,174.835994,-4.9491745
Heather Greer,28,445 Samuel Shores,Stanleymouth,Louisiana,74916,40.117322,-8.2675905
Douglas Johnson,23,43336 Gabriella Neck Suite 215,Stewartburgh,Kentucky,29559,49.969982,29.9373595
Kevin Baker,44,975 Patrick Extension,Lake Jerrymouth,South Dakota,76834,-131.383720,-59.7058385
Tasha Chandler,30,65448 Perkins Mills,Cunninghamberg,New York,06565,131.081939,-82.771372
Kimberly Kelly,75,0293 Robert Vista,Sparksview,Pennsylvania,75858,96.396781,69.390417
Andrea Garcia,28,29015 Valerie Way,Port Danielville,New Hampshire,47880,138.137221,45.4083165
Christopher Fields,63,945 Butler Islands,Jasonchester,Missouri,22383,-115.970939,-40.051031
Karen Roth,54,378 Perkins Villages Suite 521,Port Evan,Nebraska,10417,69.211100,43.389229
Dominique Harper,66,44175 Burton Lodge Apt. 728,Davisland,Alaska,56816,-36.969547,22.9597615
Amy Hall,63,58409 Williams Centers Apt. 194,Lake James,Virginia,98277,44.636805,70.0046815
Randall Blanchard,41,23160 Traci Station,Fernandoton,Kansas,61585,-147.267231,62.381633
Anthony Lozano,22,321 Scott Village Suite 324,Lake Saraton,Wyoming,95561,-166.277392,28.5710145
Christina Fuller,37,7874 Nelson Shoals Apt. 525,Johnsontown,Arizona,90166,-60.568016,3.9007885
Nicole Thompson,70,536 Claudia Rapid Suite 910,Villarrealside,Tennessee,58826,15.131050,-68.472380
Lauren Anderson,39,1786 Boyd Forge Apt. 962,New Thomas,New Hampshire,36167,44.650967,31.7689855
Kevin Nguyen,21,605 Peterson Ways Apt. 031,Lake Matthewstad,Nevada,20589,-152.834114,-34.530678
Robin Lloyd,60,2136 Richard Prairie Apt. 540,West Tiffanybury,South Carolina,89383,157.955700,74.912098
Lynn Mullen,43,9770 Marie Ways Apt. 305,Dylanfurt,Washington,83898,42.886879,51.9039585
Jason Rodriguez,64,50601 Molina Rapid Apt. 476,South Patrickport,Alaska,32428,153.855386,57.1140145
Jeffrey Smith,71,8871 Joshua Avenue Apt. 791,Port Ebony,New Hampshire,69028,109.962410,-5.3360715
Jodi Vazquez,59,5461 Hill Hollow Apt. 989,Cheyennemouth,Wisconsin,27042,22.279692,3.430500
Ashley Lopez,76,0881 Derrick Island Apt. 886,Hannahmouth,South Dakota,27237,-8.176726,75.510151
Kimberly Terry,55,2658 Adam Pine Suite 660,Port Sarahburgh,Connecticut,07357,-56.090450,59.2515365
Michael Dunn,19,261 Moyer Manors,East Nina,Mississippi,71536,-170.763114,-73.7168495
Julie Lawson,66,6486 Sara Camp,East Ryan,Georgia,48816,-23.655596,-32.9405325
Howard Keller,33,9508 Jones Route,Lake Michelle,Montana,58182,-69.541513,62.9979195
Kristin Tanner,31,321 Shea Rapid Suite 365,Aguirremouth,Montana,13405,8.242516,9.319323
Carol Willis,19,2564 Henry Turnpike,Port Brianborough,Louisiana,11095,130.827761,1.099244
Carolyn Lopez,79,631 Sanders Cliffs Suite 827,New Derek,Kansas,48498,107.737787,-33.1671785
Scott Moran,73,6703 Baker Way,New Garyberg,Vermont,21863,-174.480750,35.0410485
Howard Garcia,65,059 Rodriguez Trace Apt. 719,West Cherylburgh,Delaware,07895,168.282465,69.2200895
Alicia Miller,22,3144 Beth Rue Suite 167,North David,Washington,82506,133.818835,36.787473
Susan Stevens,35,630 Castaneda Village,Joshuamouth,Idaho,28399,45.115283,52.291464
